FECHA_CORTE,FECHA_EMISION,MES_FACTURACION,COD_EMPRESA,RAZON_SOCIAL,GRUPO,COD_SIS_ELECTR,COD_TARIFA,ATARIFA,USO,SUMINISTROS,PROMEDIO_CONSUMO
20250204,20220430,202204,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0230,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,2,535
20250204,20221130,202211,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE0098,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,4,589
20250204,20240531,202405,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE0041,92,De 101 a 140 kW.h                                                                                                                                     ,Residencial,130,117
20250204,20230228,202302,ELC ,ELECTRO CENTRO,PUBLICAS,SE0077,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,349,6
20250204,20230228,202302,ELC ,ELECTRO CENTRO,PUBLICAS,SE0066,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,22
20250204,20240731,202407,ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,92,De 101 a 140 kW.h                                                                                                                                     ,Residencial,1,119
20250204,20240731,202407,ELC ,ELECTRO CENTRO,PUBLICAS,SE1063,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,338,9
20250204,20241231,202412,ELTO,ELECTRO TOCACHE S.A.,MUNICIPAL,SE0153,22,1E-BT No Residencial                                                                                                                                  ,Comercial,21,63
20250204,20240531,202405,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE1227,7,2P2E-BT                                                                                                                                               ,Industrial,8,5391
20250204,20230930,202309,ELNM,HIDRANDINA S. A.,PUBLICAS,SR0011,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,3,622
20250204,20240731,202407,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE4242,23,1P-BT Pension Fija                                                                                                                                    ,Comercial,1,189
20250204,20230131,202301,ELC ,ELECTRO CENTRO,PUBLICAS,SE3224,6,1P1E-MT Presente en Fuera de Punta                                                                                                                    ,Industrial,21,605
20250204,20240331,202403,ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,2,556
20250204,20221031,202210,ELNO,ELECTRO NOROESTE S.A.,PUBLICAS,SE0086,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,5,635
20250204,20220930,202209,ELC ,ELECTRO CENTRO,PUBLICAS,SE0062,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,66,1573
20250204,20220630,202206,ELC ,ELECTRO CENTRO,PUBLICAS,SE0062,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,38
20250204,20220331,202203,ELC ,ELECTRO CENTRO,PUBLICAS,SR0114,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,10,123
